,source,relation,destination
3374,countries,passed in,emergency legislation
3375,countries,passed in,response
3376,countries,passed in,pandemic
3377,commentators,expressed,concern
3378,governments,grip on,grip
3379,governments,grip on,power
3380,lawmakers,granted In,Duterte temporary emergency powers
3381,lawmakers,granted In,pandemic
3382,prime minister,rule by,decree
3383,prime minister,suspend,parliament as
3384,prime minister,punish,those deemed
3385,prime minister,spread,false information
3386,prime minister,spread,virus and
3387,prime minister,spread,crisis
3388,opposition activists,spreading,fake news
3389,opposition activists,spreading,COVID-19 pandemic
3390,journalists,criticising,response
3391,journalists,issued,warnings
3392,journalists,issued,police and
3393,Rates,detained,journalists
3394,Rates,related to,pandemic
3395,COVID-19 pandemic,disrupted,agricultural systems
3396,COVID-19,hit at,time
3397,hunger,was,rise
3398,hunger,was,world
3399,million 690 people,going in,2019
3400,economic recession,triggered by,pandemic
3401,economic recession,lead to,million 83 people
3402,economic recession,going in,2020
3403,it,is,access
3404,it,is,food
3405,it,is,food production
3406,pandemic,prevented,movement
3407,pandemic,prevented,aid
3408,several famines,forecast As,which
3409,UN,called,crisis
3410,UN,called,biblical proportions
3411,It,estimated,intervention
3412,million 30 people,die of,hunger
3413,"12,000 people",reporting,day
3414,"12,000 people",linked,hunger
3415,"12,000 people",linked,end
3416,"12,000 people",linked,2020
3417,pandemic,form,worst series
3418,pandemic,form,famines
3419,pandemic,form,Great Chinese Famine
3420,pandemic,affecting,between 10 and
3421,pandemic,affecting,cent
3422,pandemic,affecting,global population
3423,pandemic,affecting,way
3424,55 countries,be,risk
3425,three dozen,succumbing to,level famines
3426,three dozen,succumbing to,case scenario
3427,million 265 people,be,famine conditions
3428,million 265 people,be,125 million
3429,million 265 people,be,pandemic
3430,pandemic,impacted,educational systems
3431,Most governments,closed with,educational institutions
3432,many,switching to,online education
3433,billion 1.077 learners,affected due,school closures
3434,billion 1.077 learners,affected due,response
3435,billion 1.077 learners,affected due,pandemic
3436,53 countries,closed According,schools and
3437,53 countries,impacting,about 61.6
3438,53 countries,impacting,cent
3439,53 countries,impacting,student population
3440,School closures,impact,only students
3441,School closures,reaching,economic consequences
3442,teachers,shed on,light
3443,teachers,shed on,social issues
3444,teachers,including,student debt
3445,teachers,including,food childcare
3446,impact,been,disadvantaged children and
3447,Education Policy Institute,conducted,report
3448,63 %,discovered,students
3449,63 %,claimed,mental students health
3450,63 %,worsened as,result
3451,63 %,worsened as,COVID-19 pandemic
3452,63 %,worsened as,38 %
3453,63 %,demonstrated alongside,satisfaction
3454,63 %,demonstrated alongside,accessibility
3455,63 %,demonstrated alongside,mental health services
3456,normality,resume for,students regarding
3457,normality,resume for,policy situation
3458,pandemic,have,many impacts
3459,pandemic,have,global health
3460,pandemic,have,those caused
3461,pandemic,have,COVID-19 disease itself
3462,pandemic,led to,reduction
3463,pandemic,led to,hospital visits
3464,pandemic,led to,other reasons
3465,worry,is,people
3466,worry,dying at,home
3467,worry,dying at,people're
3468,worry,go to,hospital
3469,people,is,strokes and
3470,people,seeking,timely treatment
3471,Shortages,impacted with,people
3472,Shortages,impacted with,various conditions
3473,rates,decreased during,pandemic
3474,pandemic,impacted,mental health
3475,pandemic,increased,loneliness resulting
3476,pandemic,increased,social distancing and
3477,pandemic,increased,domestic lockdowns
3478,40 %,experiencing As,adverse mental health symptoms
3479,11 %,kill in,11 %
3480,11 %,kill in,past month
3481,worldwide disruption,caused by,pandemic
3482,worldwide disruption,resulted in,numerous positive effects
3483,worldwide disruption,resulted in,environment and
3484,global reduction,planned,travel
3485,global reduction,caused,large drop
3486,global reduction,caused,air pollution and
3487,global reduction,caused,many water regions
3488,lockdowns,resulted in,25 percent reduction
3489,lockdowns,resulted in,carbon emissions
3490,lockdowns,resulted in,50 nitrogen oxides emissions
3491,one Earth systems scientist,saved over,"at 77,000 lives"
3492,one Earth systems scientist,saved over,two months
3493,Other positive effects,controlled,investments
3494,Other positive effects,controlled,sustainable energy transition and
3495,Other positive effects,related to,environmental protection
3496,Other positive effects,related to,trillion budget proposal and
3497,Other positive effects,reserve,25 %
3498,Other positive effects,reserve,EU spending
3499,Other positive effects,reserve,friendly expenditure
3500,pandemic,provided due,cover
3501,pandemic,provided due,illegal activities
3502,pandemic,provided due,such deforestation
3503,pandemic,provided due,Amazon rainforest
3504,pandemic,increased,Africa
3505,hindering,created,economic fallout
3506,hindering,slow,investment
3507,hindering,slow,green energy technologies
3508,Heightened prejudice,documented around,world
3509,Heightened prejudice,documented around,people
3510,Heightened prejudice,documented around,East descent
3511,cases,confined to,China
3512,cases,documented,racist sentiments expressed
3513,cases,documented,groups worldwide
3514,Chinese people,deserving,virus
3515,Chinese people,increasing,levels
3516,Chinese people,increasing,racist abuse and
3517,President Donald Trump,referring to,COVID-19
3518,President Donald Trump,referring to,Chinese Virus
3519,President Donald Trump,condemned as,racist and
3520,Asian family,including,old girl
3521,Asian family,attacked at,knifepoint
3522,Asian family,attacked at,Texas
3523,Asian family,attacked at,what
3524,people,Following,Italy
3525,people,Following,first Europe
3526,people,experience,serious outbreak
3527,people,experience,COVID-19
3528,people,subjected to,suspicion and
3529,people,were,hotspots
3530,people,were,other countries
3531,public health authorities,identified,Tablighi gathering
3532,public health authorities,identified,New Delhi
3533,public health authorities,identified,early March 2020
3534,public health authorities,identified,source
3535,public health authorities,identified,spread
3536,riots,break over,police treatment
3537,riots,marginalised,ethnic groups
3538,riots,marginalised,in place
3539,riots,marginalised,lockdown
3540,Racism,increased in,Arab states
3541,Racism,increased in,Persian Gulf
3542,LGBTQ community,blamed by,some
3543,LGBTQ community,blamed by,spread
3544,LGBTQ community,blamed by,COVID-19
3545,LGBTQ community,blamed by,Seoul
3546,people,evicted from,people
3547,people,evicted from,African descent homes
3548,people,leave within,China
3549,people,leave within,24 hours
3550,people,leave within,disinformation
3551,people,leave within,African descent and
3552,people,spreading,virus
3553,racism,criticised by,foreign governments
3554,racism,criticised by,Chinese Zimbabwe
3555,discrimination,based,older adults
3556,discrimination,based,pandemic
3557,discrimination,was,pandemic
3558,limited digital literacy,leave,elderly
3559,limited digital literacy,leave,effects
3560,limited digital literacy,leave,isolation
3561,pandemic,resulted in,many people adapting
3562,pandemic,resulted in,massive changes
3563,pandemic,resulted in,life
3564,pandemic,increased,internet commerce activity
3565,pandemic,increased,job market
3566,Social distancing,increased,sales
3567,Social distancing,increased,large commerce companies
3568,Social distancing,increased,such Amazon
3569,Online retailers,posted in,billion 791.70 dollars
3570,Online retailers,posted in,sales
3571,Online retailers,posted in,2020
3572,Online retailers,posted in,32.4 %
3573,Online retailers,posted in,billion 598.02 dollars
3574,Online retailers,posted in,year before
3575,trend,increased due,pandemic
3576,indoor dining restaurants,shutting due,lockdown orders or
3577,Hackers,targeting due,people
3578,Hackers,targeting due,massive changes
3579,Hackers,be,CDC
3580,others,using,different phishing schemes
3581,Education,shifted from,physical attendance
3582,Education,shifted from,video conferencing apps
3583,Education,zoom,Zoom
3584,lockdown measures,resulted in,schools
3585,mass layoffs,occurred in,airline
3586,COVID-19 research,indexed,NIH COVID-19 Portfolio
3587,newspaper agencies,removed,newspaper agencies
3588,newspaper agencies,removed,online paywalls
3589,newspaper agencies,removed,newspaper agencies
3590,newspaper agencies,COVID-19-related,articles and
3591,scientific publishers,make,scientific papers related
3592,scientific publishers,make,outbreak available
3593,scientific publishers,make,open access
3594,scientists,result on,preprint servers
3595,scientists,result on,such bioRxiv
3596,Maps,played with,key role
3597,Maps,disseminating,information
3598,Maps,concerning,spatial distribution
3599,Maps,concerning,disease
3600,Maps,concerning,development
3601,Maps,concerning,dashboards
3602,Maps,concerning,present data
3603,Maps,concerning,real time
3604,Methods,draw in,criticism
3605,Methods,draw in,over simplification
3606,Methods,draw in,geographical patterns indicated
3607,Methods,draw in,choropleth maps
3608,Methods,adopt,map scales
3609,COVID-19 pandemic,resulted in,misinformation theories
3610,COVID-19 pandemic,resulted in,scale
3611,COVID-19 pandemic,resulted in,pandemic
3612,COVID-19 pandemic,resulted in,disease
3613,False information,including,intentional disinformation
3614,False information,spread through,social media
3615,Journalists,spreading,fake news
3616,Journalists,spreading,pandemic
3617,False information,propagated by,celebrities
3618,Commercial scams,offer,at home
3619,Commercial scams,offer,tests
3620,Commercial scams,supposed,preventives
3621,Several religious groups faith,protect from,Several religious groups
3622,Several religious groups faith,protect from,virus
3623,virus,leaked from,laboratory
3624,virus,leaked from,spy operation
3625,virus,leaked from,5 G upgrades
3626,virus,leaked from,cellular networks
3627,COVID‑19 vaccine,acquired,immunity
3628,COVID‑19 vaccine,acquired,severe acute respiratory syndrome coronavirus 2
3629,COVID‑19 vaccine,cause,coronavirus disease 2019
3630,body,established,knowledge
3631,body,existed about,structure and
3632,body,existed about,coronaviruses
3633,body,causing,diseases
3634,body,causing,severe acute respiratory syndrome
3635,knowledge,accelerated during,development
3636,knowledge,accelerated during,various vaccine technologies
3637,knowledge,accelerated during,early 2020
3638,CoV-2 genetic sequence data,shared through,GISAID
3639,CoV-2 genetic sequence data,shared through,19 March
3640,global pharmaceutical industry,announced by,major commitment
3641,global pharmaceutical industry,address,COVID-19
3642,several COVID‑19 vaccines,demonstrated In,efficacy
3643,several COVID‑19 vaccines,demonstrated In,95 %
3644,several COVID‑19 vaccines,preventing,symptomatic COVID‑19 infections
3645,18 vaccines,authorized by,one national regulatory authority
3646,18 vaccines,authorized by,public use
3647,18 vaccines,inactivated,Medical Sciences
3648,308 vaccine candidates,are,various stages
3649,308 vaccine candidates,are,development
3650,308 vaccine candidates,are,73
3651,308 vaccine candidates,are,clinical research
3652,308 vaccine candidates,including,24
3653,308 vaccine candidates,including,Phase
3654,Many countries,phased,distribution plans
3655,Many countries,prioritize,those
3656,Many countries,prioritize,highest risk
3657,Many countries,prioritize,complications
3658,Many countries,prioritize,such elderly
3659,Many countries,prioritize,high risk
3660,Many countries,prioritize,exposure and
3661,Many countries,prioritize,healthcare workers
3662,Single dose interim use,is,consideration
3663,Single dose interim use,extend to,vaccination
3664,Single dose interim use,extend to,many people
3665,billion 2.5 doses,based on,official reports
3666,billion 2.5 doses,based on,national health agencies
3667,AstraZeneca,producing in,billion 3 doses
3668,AstraZeneca,producing in,2021
3669,Pfizer,producing in,billion 1.3 doses
3670,Moderna,producing,million 600 doses
3671,Moderna,producing,million 500 doses
3672,Moderna,producing,2021
3673,billion vaccine doses,preordered by,countries
3674,billion vaccine doses,preordered by,about half
3675,billion vaccine doses,preordered by,doses purchased
3676,billion vaccine doses,preordered by,income countries comprising
3677,billion vaccine doses,preordered by,14 %
3678,billion vaccine doses,preordered by,population
3679,vaccine,produced in,less
3680,vaccine,produced in,several years
3681,vaccine,preventing,coronavirus infection
3682,vaccine,preventing,humans
3683,vaccines,produced against,several animal diseases caused
3684,vaccines,produced against,coronaviruses
3685,vaccines,including,2003
3686,vaccines,including,infectious bronchitis virus
3687,vaccines,including,birds
3688,Previous projects,develop,vaccines
3689,Previous projects,develop,viruses
3690,Previous projects,develop,family Coronaviridae
3691,Previous projects,affect,humans
3692,Previous projects,aimed at,severe acute respiratory syndrome
3693,Vaccines,tested in,human animals
3694,identification,According to,novel vaccines and
3695,identification,treat,SARS
3696,identification,was,governments and
3697,identification,was,public health world
3698,identification,was,time
3699,SARS research,provide,useful template
3700,SARS research,developing against,vaccines and
3701,SARS research,developing against,CoV infection
3702,vaccine development,expedited via,unprecedented collaboration
3703,vaccine development,expedited via,multinational pharmaceutical industry
3704,vaccine development,expedited via,governments
3705,Multiple steps,been,COVID-19 vaccine development
3706,urgency,create,vaccine
3707,urgency,create,COVID‑19
3708,urgency,compressed,schedules
3709,urgency,shortened,standard vaccine development timeline
3710,urgency,shortened,cases combining
3711,urgency,shortened,clinical trial steps
3712,urgency,shortened,months
3713,process,conducted in,years
3714,Timelines,conducting,clinical research
3715,Timelines,requiring,years
3716,Timelines,compressed into,safety
3717,Timelines,running over,months
3718,Timelines,compromising,safety assurance
3719,Chinese vaccine developers,begin As,Chinese vaccine developers and
3720,Chinese vaccine developers,begin As,Disease Control Chinese efforts
3721,Chinese vaccine developers,begin As,January 2020
3722,Chinese vaccine developers,begin As,March
3723,Chinese vaccine developers,pursuing by,numerous candidates
3724,Chinese vaccine developers,pursuing by,short timelines
3725,Chinese vaccine developers,pursuing by,goal
3726,Chinese vaccine developers,showcase,Chinese technology strengths
3727,Chinese vaccine developers,showcase,those
3728,Chinese vaccine developers,showcase,United States
3729,Chinese vaccine developers,reassure about,Chinese people
3730,Chinese vaccine developers,reassure about,quality
3731,Chinese vaccine developers,reassure about,vaccines produced
3732,Chinese vaccine developers,reassure about,China
3733,rapid development,producing,vaccine
3734,rapid development,producing,COVID‑19 pandemic
3735,rapid development,increase,risks rate
3736,rapid development,delivering,effective vaccine
3737,research,obstructed by,physical distancing and
3738,research,obstructed by,laboratories
3739,Vaccines,progress through,several phases
3740,Vaccines,progress through,clinical trials
3741,Vaccines,test for,safety
3742,Vaccines,test for,candidate vaccine
3743,Vaccine developers,invest,resources
3744,Vaccine developers,find,enough participants
3745,Vaccine developers,find,III clinical trials
3746,virus,changing across,transmission rates
3747,virus,changing across,countries
3748,virus,forcing,companies
3749,virus,compete for,trial participants
3750,Clinical trial organizers,encounter,people unwilling
3751,Clinical trial organizers,vaccinated due,vaccine hesitancy or
3752,Clinical trial organizers,vaccinated due,science
3753,Clinical trial organizers,vaccinated due,vaccine technology
3754,Clinical trial organizers,prevent,infection
3755,new vaccines,developed during,COVID‑19 pandemic
3756,licensure,developed during,COVID‑19 vaccine candidates
3757,licensure,require,submission
3758,licensure,require,full dossier
3759,licensure,require,information
3760,licensure,require,development quality
3761,Access,covid-19,COVID-19 Tools Accelerator
3762,Access,announced in,April 2020
3763,It,enable,partners
3764,It,share,resources and
3765,It,comprise,four pillars
3766,It,collaborating,partners
3767,R&D Blueprint,controlled,clinical trial
3768,R&D Blueprint,allow,concurrent evaluation
3769,R&D Blueprint,allow,benefits and
3770,R&D Blueprint,allow,promising candidate vaccine
3771,R&D Blueprint,allow,3–6 months
3772,R&D Blueprint,allow,promising candidate vaccine
3773,R&D Blueprint,make,trial
3774,WHO vaccine coalition,prioritize,which
3775,vaccines,go into,Phase II and
3776,vaccines,harmonized,Phase III protocols
3777,vaccines,harmonized,vaccines achieving
3778,vaccines,harmonized,pivotal trial stage
3779,National governments,involved in,vaccine development
3780,Canada,announced with,funding
3781,Canada,announced with,96 vaccine research projects
3782,Canada,announced with,Canadian companies and
3783,Canada,announced with,plans
3784,Canada,establish,vaccine bank
3785,coronavirus outbreak,support,clinical trials
3786,coronavirus outbreak,develop for,manufacturing chains
3787,coronavirus outbreak,develop for,vaccines
3788,China,provided to,rate loans
3789,China,provided to,one vaccine developer
3790,China,provided to,China central bank
3791,land,make,China
3792,land,build,production plants
3793,Three Chinese vaccine companies,supported by,government
3794,Three Chinese vaccine companies,financing,research
3795,Three Chinese vaccine companies,conducting,clinical trials
3796,Great Britain,formed in,vaccine task force
3797,Great Britain,formed in,April 2020
3798,Great Britain,stimulate through,local efforts
3799,Great Britain,stimulate through,accelerated development
3800,Great Britain,stimulate through,vaccine
3801,Great Britain,stimulate through,collaborations
3802,Great Britain,stimulate through,industry
3803,vaccine,encompassed from,phase
3804,vaccine,encompassed from,development
3805,vaccine,encompassed from,research
3806,vaccine,encompassed from,manufacturing
3807,Biomedical Advanced Research Authority,fighting,technology
3808,Biomedical Advanced Research Authority,announced In,investments
3809,Biomedical Advanced Research Authority,support,COVID‑19 vaccine development
3810,Biomedical Advanced Research Authority,support,promising candidates
3811,government,announced In,funding
3812,government,announced In,track program called
3813,Large pharmaceutical companies,making at,vaccines
3814,Large pharmaceutical companies,making at,scale
3815,Large pharmaceutical companies,including,Johnson &
3816,Large pharmaceutical companies,formed,alliances
3817,Large pharmaceutical companies,formed,biotechnology companies
3818,Large pharmaceutical companies,accelerate,progression
3819,Large pharmaceutical companies,accelerate,effective vaccines
3820,SARS CoV-2,isolated in,late 2019
3821,genetic sequence,published on,11 January 2020
3822,genetic sequence,triggering,urgent international response
3823,genetic sequence,prepare for,outbreak
3824,genetic sequence,hasten,development
3825,genetic sequence,hasten,preventive COVID-19 vaccine
3826,vaccine development,expedited via,unprecedented collaboration
3827,vaccine development,expedited via,multinational pharmaceutical industry
3828,vaccine development,expedited via,governments
3829,tens of billions,invested by,corporations
3830,tens of billions,develop,dozens
3831,tens of billions,develop,vaccine candidates
3832,tens of billions,prepare for,global vaccination programs
3833,tens of billions,immunize against,COVID‑19 infection
3834,geographic distribution,According to,COVID‑19 vaccine development
3835,North American entities,have,40 %
3836,North American entities,have,activity
3837,North American entities,compared to,30 %
3838,North American entities,compared to,Asia and
3839,North American entities,compared to,26 Europe
3840,North American entities,compared to,South America and
3841,vaccine,expect,it
3842,vaccine,become in,less than 18 months
3843,infection rate,growing,COVID‑19
3844,infection rate,growing,early 2020
3845,infection rate,stimulated with,international alliances and
3846,infection rate,organize,resources
3847,infection rate,make,multiple vaccines
3848,infection rate,shortened,timelines
3849,four vaccine candidates,entering in,human evaluation
3850,four vaccine candidates,entering in,March
3851,four vaccine candidates,see,COVID-19 vaccine Trial status
3852,China,approved On,CanSino vaccine
3853,China,approved On,limited use
3854,China,approved On,military
3855,China,inactivated,emergency use
3856,China,inactivated,risk occupations
3857,Russia,announced On,approval
3858,Russia,announced On,Sputnik V vaccine
3859,Russia,announced On,emergency use
3860,one month small amounts,announced On,vaccine
3861,one month small amounts,distributed for,use
3862,one month small amounts,distributed for,phase 3 trial
3863,BioNTech partnership,submitted to,EUA request
3864,BioNTech partnership,submitted to,FDA
3865,BioNTech partnership,submitted to,mRNA vaccine BNT162b2
3866,BioNTech partnership,submitted to,20 ingredient November 2020
3867,Medicines products Regulatory Agency,give On,temporary regulatory approval
3868,Medicines products Regulatory Agency,give On,BioNTech vaccine
3869,Medicines products Regulatory Agency,approve,vaccine and
3870,Medicines products Regulatory Agency,approve,Western world
3871,Medicines products Regulatory Agency,approve,use
3872,Medicines products Regulatory Agency,approve,COVID‑19 vaccine
3873,many countries,approved,BioNTech COVID‑19 vaccine
3874,Bahrain,granted,emergency marketing authorization
3875,Bahrain,granted,BBIBP CorV
3876,Bahrain,manufactured by,Sinopharm
3877,United States Food Administration,granted On,Emergency Use Authorization
3878,United States Food Administration,granted On,Pfizer
3879,UB-612 vaccine,based,COVAXX
3880,UB-612 vaccine,initiated for,profits
3881,UB-612 vaccine,initiated for,founder Erik Prince
3882,close associate,recruited for,COVAXX project
3883,Prince,making,possibilities
3884,Prince,selling,Covid-19 vaccines
3885,COVAXX,provided,data
3886,COVAXX,provided,clinical trials
3887,COVAXX,provided,safety or
3888,responsibility,creating,distribution networks
3889,responsibility,based,entity
3890,responsibility,mentioned as,Windward Capital
3891,responsibility,mentioned as,COVAXX letterhead
3892,sole shareholder,handled,professional activities
3893,COVAXX,raised In,$ 1.35 billion
3894,COVAXX,raised In,private placement
3895,nine different technology platforms,are,research and
3896,nine different technology platforms,create,effective vaccine
3897,nine different technology platforms,create,COVID‑19
3898,Most,focused on,coronavirus spike protein and
3899,Most,focused on,primary antigen
3900,Most,focused on,COVID‑19 infection
3901,Platforms,developed in,2020
3902,Platforms,involved,nucleic acid technologies
3903,Many vaccine technologies,developed for,COVID‑19
3904,Many vaccine technologies,are,vaccines
3905,Many vaccine technologies,are,use
3906,Many vaccine technologies,prevent,influenza
3907,Many vaccine technologies,using,generation strategies
3908,Many vaccine technologies,using,precise targeting
3909,Many vaccine technologies,using,COVID‑19 infection mechanisms
3910,Several,use,2P mutation
3911,Several,lock into,spike protein
3912,Several,lock into,prefusion configuration
3913,Several,stimulating,immune response
3914,Several,stimulating,virus
3915,virus,attach to,human cell
3916,Vaccine platforms,improve,flexibility
3917,Vaccine platforms,improve,antigen manipulation
3918,Vaccine platforms,targeting,mechanisms
3919,Vaccine platforms,targeting,COVID‑19 infection
3920,Vaccine platforms,targeting,susceptible population subgroups
3921,Vaccine platforms,targeting,healthcare workers
3922,Vaccine platforms,weakened,immune systems
3923,RNA vaccine,contain,RNA
3924,RNA vaccine,introduced into,tissue
3925,RNA vaccine,act as,messenger RNA
3926,cells,build,foreign protein
3927,cells,stimulate,adaptive immune response
3928,cells,teach,body
3929,cells,corresponding,pathogen or
3930,RNA vaccines,modified,messenger RNA
3931,delivery,achieved by,coformulation
3932,delivery,achieved by,molecule
3933,delivery,achieved by,lipid nanoparticles
3934,delivery,protect,RNA strands
3935,delivery,help into,RNA strands absorption
3936,delivery,help into,cells
3937,RNA vaccines,authorized in,United Kingdom
3938,vaccines,authorized,type
3939,CVnCoV RNA vaccine,awaiting As,authorization
3940,CVnCoV RNA vaccine,awaiting As,EU
3941,COVID‑19 vaccine administration,resulted in,175 cases
3942,COVID‑19 vaccine administration,resulted in,severe allergic reaction
3943,COVID‑19 vaccine administration,resulted in,which
3944,2021 ten cases,covid-19,anaphylaxis
3945,lipid nanoparticles,were,allergic reactions
3946,lipid nanoparticles,replicating,viral vector vaccines
3947,lipid nanoparticles,using,adenovirus shell containing
3948,lipid nanoparticles,using,DNA
3949,lipid nanoparticles,encode,SARS‑CoV‑2 protein
3950,vaccines,based,COVID-19
3951,lipid nanoparticles,make,new virus particles
3952,lipid nanoparticles,produce,antigen
3953,lipid nanoparticles,elicit,systemic immune response
3954,vaccines,authorized,type
3955,COVID-19 vaccine,offer,complicated logistics
3956,COVID-19 vaccine,stored under,ordinary refrigeration
3957,COVID-19 vaccine,stored under,several months
3958,Convidecia,use for,Ad5
3959,Convidecia,use for,Convidecia
3960,vaccines,consist of,virus particles
3961,vaccines,grow in,culture
3962,vaccines,using,method
3963,vaccines,using,such heat or
3964,vaccines,producing,capacity
3965,vaccines,stimulating,immune response
3966,vaccines,authorized,type
3967,Vaccines,include,COVID-19 Valneva vaccine
3968,Subunit vaccines,present without,one antigens
3969,Subunit vaccines,introducing,whole pathogen particles
3970,Subunit vaccines,is,pathogen
3971,vaccines,authorized,type
3972,Vaccines,pending,authorizations
3973,Vaccines,include,Novavax COVID-19 vaccine
3974,V451 vaccine,was,clinical trials
3975,vaccine,cause,incorrect results
3976,vaccine,cause,subsequent HIV testing
3977,Additional types,are,clinical trials
3978,Additional types,include,like particle vaccines
3979,Additional types,displaying,SARS‑CoV‑2 spike protein
3980,vaccines,existing,unrelated conditions
3981,vaccines,prime,immune system
3982,vaccines,lessen,severity
3983,vaccines,lessen,COVID‑19 infection
3984,BCG vaccine,is,tuberculosis
3985,BCG vaccine,has,specific effects
3986,BCG vaccine,has,immune system
3987,vaccine,is,COVID‑19
3988,Vaccine efficacy,getting by,disease
3989,Vaccine efficacy,getting by,vaccinated participants
3990,Vaccine efficacy,controlled,trial
3991,Vaccine efficacy,compared with,risk
3992,Vaccine efficacy,getting by,disease
3993,Vaccine efficacy,getting by,unvaccinated participants
3994,vaccine,work,placebo
3995,efficacy,are,many infection
3996,efficacy,are,unvaccinated individuals
3997,It,compare,efficacies
3998,It,compare,different vaccines
3999,trials,run with,different populations
4000,trials,run with,virus
4001,vaccine efficacy,slow,pandemic
4002,vaccine,sterilizing,immunity
4003,vaccine,prevent,transmission
4004,Vaccine efficacy,reflect,disease prevention
4005,Vaccine efficacy,reflect,poor transmissibility
4006,Vaccine efficacy,reflect,SARS‑CoV‑2
4007,European Medicines Agency,set as,cutoff
4008,European Medicines Agency,set as,50 %
4009,European Medicines Agency,set as,efficacy required
4010,European Medicines Agency,approve,COVID‑19 vaccine
4011,necessary effectiveness,depending on,COVID-19 vaccine
4012,necessary effectiveness,prevent,epidemic
4013,necessary effectiveness,extinguish without,COVID-19 vaccine
4014,necessary effectiveness,extinguish without,further measures
4015,necessary effectiveness,extinguish without,social distancing
4016,symptomatic COVID-19,having,positive PCR test and
4017,symptomatic COVID-19,defined,list
4018,symptomatic COVID-19,defined,COVID-19 symptoms
4019,exact specifications,vary between,trials
4020,trial location,reported,efficacy
4021,different countries,have,different prevalences
4022,different countries,have,CoV-2 variants
4023,values,are,participants
4024,values,are,age
4025,values,according to,references
4026,values,according to,each
4027,values,according to,trials
4028,accuracy,mean By,estimates
4029,accuracy,associated,confidence interval
4030,accuracy,is,public
4031,vaccines,following,efficacies
4032,vaccines,following,vaccine effectiveness measure
4033,certain vaccine,preventing for,COVID-19 infection
4034,certain vaccine,vaccinated,individuals
4035,certain vaccine,vaccinated,large population
4036,certain vaccine,vaccinated,routine conditions
4037,immediate goal,protect,individuals
4038,immediate goal,protect,disease
4039,term goal,eradicate,disease
4040,proportion,do,population
4041,proportion,be,critical vaccination coverage
4042,value,calculated from,basic reproduction number and
4043,value,calculated from,vaccine transmission
4044,coverage level,be,72 vaccine
4045,coverage level,is,90 % transmission
4046,effectiveness,required,transmission
4047,effectiveness,Assuming,same R0
4048,effectiveness,required,transmission
4049,effectiveness,be,example
4050,effectiveness,be,realistic coverage level
4051,effectiveness,be,75 % or
4052,effectiveness,be,impossible coverage level
4053,effectiveness,be,100 %
4054,Less effective vaccines,eradicate,disease
4055,marketing studies,estimated As,effectiveness
4056,marketing studies,estimated As,vaccines
4057,marketing studies,estimated As,asymptomatic infection
4058,Prevention,has,impact
4059,Prevention,slowing,transmission
4060,exact extent,slowing,effect
4061,exact extent,is,investigation
4062,variants,increased,transmissivity or
4063,variants,increased,url status
4064,basic reproduction number,indicating,variants
4065,basic reproduction number,requiring,greater vaccine coverage
4066,basic reproduction number,requiring,greater vaccine effectiveness
4067,basic reproduction number,requiring,transmission
4068,basic reproduction number,requiring,both
4069,potential emergence,is,antibody response
4070,potential emergence,elicited by,current generation
4071,potential emergence,elicited by,COVID-19 vaccines
4072,potential emergence,necessitate,modification
4073,potential emergence,necessitate,vaccines
4074,many vaccines,developed for,initial strain
4075,many vaccines,have,lower efficacy
4076,many vaccines,have,variants
4077,many vaccines,have,symptomatic COVID-19
4078,vaccines,circulating,strains
4079,vaccines,circulating,SARS CoV-2
4080,WHO,retained with,efficacy effectiveness
4081,WHO,retained with,disease
4082,WHO,retained with,Alpha
4083,WHO,retained with,Oxford
4084,WHO,retained with,Pfizer AstraZeneca data
4085,WHO,retained with,other vaccines
4086,Relevant vaccines,end by,pandemic
4087,Relevant vaccines,preventing,asymptomatic infection
4088,AstraZeneca vaccine,preventing,data
4089,AstraZeneca vaccine,preventing,other vaccines
4090,AstraZeneca vaccine,retained with,antibody neutralization
4091,AstraZeneca vaccine,retained with,Alpha
4092,AstraZeneca vaccine,retained with,most
4093,AstraZeneca vaccine,distributed,vaccines
4094,AstraZeneca vaccine,distributed,moderate BBIBP reduction
4095,AstraZeneca vaccine,distributed,Oxford
4096,AstraZeneca vaccine,distributed,other vaccines
4097,new SARS‑CoV‑2 variant,identified in,UK
4098,Early results,suggest,protection
4099,Early results,suggest,variant
4100,Early results,suggest,Pfizer BioNTech and
4101,AstraZeneca COVID-19 vaccine,had,efficacy
4102,AstraZeneca COVID-19 vaccine,had,42–89 %
4103,AstraZeneca COVID-19 vaccine,had,Alpha
4104,AstraZeneca COVID-19 vaccine,had,71–91 %
4105,AstraZeneca COVID-19 vaccine,had,other variants
4106,Novavax vaccine,is,% symptoms
4107,Novavax vaccine,is,original variant and
4108,Novavax vaccine,is,Alpha
4109,WHO,reduced,efficacy effectiveness
4110,WHO,reduced,disease
4111,WHO,reduced,Beta
4112,WHO,reduced,Oxford
4113,vaccines,end by,pandemic
4114,vaccines,preventing,asymptomatic infection
4115,vaccines,reduced,antibody neutralization
4116,vaccines,reduced,Beta
4117,vaccines,reduced,most
4118,vaccines,distributed,vaccines
4119,vaccines,distributed,substantial Sputnik reduction
4120,vaccines,distributed,CoronaVac and
4121,vaccines,distributed,modest BBIBP reduction
4122,vaccines,distributed,data
4123,vaccines,distributed,other vaccines
4124,Moderna,launched,trial
4125,Moderna,launched,vaccine
